fold_id,train_samples_orig,train_samples_aug,test_samples,test_subjects,accuracy,precision_macro,recall_macro,f1_macro,slouch_recall,slouch_precision,slouch_f1
0,311,551,92,"S001,S003,S006",0.6957,0.7672,0.7093,0.7075,0.5556,0.625,0.5882
1,348,588,55,"S002,S012,S019",0.7273,0.7959,0.8,0.7746,0.9,0.5294,0.6667
2,279,519,124,"S004,S013,S018,S021,S022",0.7339,0.763,0.735,0.735,0.6087,0.7,0.6512
3,330,570,73,"S005,S011,S014,S016",0.6301,0.563,0.6152,0.5564,0.7692,0.4545,0.5714
4,344,584,59,"S015,S017,S024",0.678,0.8474,0.7434,0.7005,1.0,0.3704,0.5405
