class,f1_2d,f1_3d,f1_delta_3d_minus_2d,precision_2d,precision_3d,recall_2d,recall_3d
leaning_backward,0.6444444444444445,0.68,0.03555555555555556,0.5918367346938775,0.8095238095238095,0.7073170731707317,0.5862068965517241
leaning_forward,0.5492957746478874,0.544,-0.00529577464788733,0.582089552238806,0.68,0.52,0.4533333333333333
leaning_left,0.6771653543307087,0.7394957983193278,0.06233044398861909,0.6231884057971014,0.7719298245614035,0.7413793103448276,0.7096774193548387
leaning_right,0.8571428571428571,0.686046511627907,-0.17109634551495012,0.8947368421052632,0.5315315315315315,0.8225806451612904,0.9672131147540983
slouching,0.9838709677419355,0.48333333333333334,-0.5005376344086021,0.9682539682539683,0.5272727272727272,1.0,0.4461538461538462
upright,0.5614035087719298,0.5764705882352941,0.015067079463364275,0.6530612244897959,0.5568181818181818,0.49230769230769234,0.5975609756097561
