fold_id,train_samples,test_samples,test_subjects,accuracy,precision_macro,recall_macro,f1_macro,slouch_recall,slouch_f1,lean_fwd_recall
0,311,92,"S001,S003,S006",0.6522,0.6862,0.6759,0.6664,0.5556,0.4762,0.4
1,348,55,"S002,S012,S019",0.7273,0.746,0.7778,0.7534,0.5,0.5,0.5
2,279,124,"S004,S013,S018,S021,S022",0.6694,0.7761,0.6796,0.6576,0.1304,0.2308,0.35
3,330,73,"S005,S011,S014,S016",0.589,0.4631,0.5833,0.506,0.5385,0.5185,0.8182
4,344,59,"S015,S017,S024",0.7966,0.8758,0.8505,0.8058,1.0,0.7407,0.2143
