image_id,capture_id,camera_id,image_path,timestamp,width,height,blur_score,exposure_status,annotation_status
S001_SE01_CAP000013_CAM02,CAP000013,CAM02,02_data\private_raw\S001\SE01\CAM02\S001_SE01_CAP000013_CAM02.jpg,2026-08-28T13:47:04.793+00:00,1920,1080,201.17,auto,unannotated
S001_SE01_CAP000014_CAM01,CAP000014,CAM01,02_data\private_raw\S001\SE01\CAM01\S001_SE01_CAP000014_CAM01.jpg,2026-08-28T13:47:07.923+00:00,1920,1080,231.89,auto,unannotated
S001_SE01_CAP000014_CAM02,CAP000014,CAM02,02_data\private_raw\S001\SE01\CAM02\S001_SE01_CAP000014_CAM02.jpg,2026-08-28T13:47:07.933+00:00,1920,1080,241.2,auto,unannotated
S001_SE01_CAP000015_CAM01,CAP000015,CAM01,02_data\private_raw\S001\SE01\CAM01\S001_SE01_CAP000015_CAM01.jpg,2026-08-28T13:47:11.893+00:00,1920,1080,242.32,auto,unannotated
S001_SE01_CAP000015_CAM02,CAP000015,CAM02,02_data\private_raw\S001\SE01\CAM02\S001_SE01_CAP000015_CAM02.jpg,2026-08-28T13:47:11.861+00:00,1920,1080,237.61,auto,unannotated
S001_SE01_CAP000016_CAM01,CAP000016,CAM01,02_data\private_raw\S001\SE01\CAM01\S001_SE01_CAP000016_CAM01.jpg,2026-08-28T13:47:32.173+00:00,1920,1080,145.9,auto,unannotated
S001_SE01_CAP000016_CAM02,CAP000016,CAM02,02_data\private_raw\S001\SE01\CAM02\S001_SE01_CAP000016_CAM02.jpg,2026-08-28T13:47:32.200+00:00,1920,1080,22.86,auto,unannotated
S001_SE01_CAP000017_CAM01,CAP000017,CAM01,02_data\private_raw\S001\SE01\CAM01\S001_SE01_CAP000017_CAM01.jpg,2026-08-28T13:47:35.632+00:00,1920,1080,179.64,auto,unannotated
S001_SE01_CAP000017_CAM02,CAP000017,CAM02,02_data\private_raw\S001\SE01\CAM02\S001_SE01_CAP000017_CAM02.jpg,2026-08-28T13:47:35.605+00:00,1920,1080,161.45,auto,unannotated
S001_SE01_CAP000018_CAM01,CAP000018,CAM01,02_data\private_raw\S001\SE01\CAM01\S001_SE01_CAP000018_CAM01.jpg,2026-08-28T13:47:38.494+00:00,1920,1080,192.99,auto,unannotated
S001_SE01_CAP000018_CAM02,CAP000018,CAM02,02_data\private_raw\S001\SE01\CAM02\S001_SE01_CAP000018_CAM02.jpg,2026-08-28T13:47:38.469+00:00,1920,1080,30.3,auto,unannotated
S001_SE01_CAP000019_CAM01,CAP000019,CAM01,02_data\private_raw\S001\SE01\CAM01\S001_SE01_CAP000019_CAM01.jpg,2026-08-28T13:47:41.272+00:00,1920,1080,210.38,auto,unannotated
S001_SE01_CAP000019_CAM02,CAP000019,CAM02,02_data\private_raw\S001\SE01\CAM02\S001_SE01_CAP000019_CAM02.jpg,2026-08-28T13:47:41.277+00:00,1920,1080,206.03,auto,unannotated
S001_SE01_CAP000020_CAM01,CAP000020,CAM01,02_data\private_raw\S001\SE01\CAM01\S001_SE01_CAP000020_CAM01.jpg,2026-08-28T13:47:44.211+00:00,1920,1080,211.86,auto,unannotated
S001_SE01_CAP000020_CAM02,CAP000020,CAM02,02_data\private_raw\S001\SE01\CAM02\S001_SE01_CAP000020_CAM02.jpg,2026-08-28T13:47:44.214+00:00,1920,1080,206.8,auto,unannotated
S001_SE01_CAP000021_CAM01,CAP000021,CAM01,02_data\private_raw\S001\SE01\CAM01\S001_SE01_CAP000021_CAM01.jpg,2026-08-28T13:47:56.901+00:00,1920,1080,242.44,auto,unannotated
S001_SE01_CAP000021_CAM02,CAP000021,CAM02,02_data\private_raw\S001\SE01\CAM02\S001_SE01_CAP000021_CAM02.jpg,2026-08-28T13:47:56.898+00:00,1920,1080,193.85,auto,unannotated
