calibration_id,setup_date,cam01_intrinsic_file,cam02_intrinsic_file,stereo_cam01_cam02_file,mean_reprojection_error_px,qc_status,notes
CAL_001,2026-08-28,02_data/private_calibration/intrinsic/CAM01_intrinsic.json,02_data/private_calibration/intrinsic/CAM02_intrinsic.json,02_data/private_calibration/stereo/CAL_001_stereo.json,47.67,WARNING_RECHECK,"Rig Setup 1: Subjects S001-S002 (Baseline ~1.29 m)"
CAL_004,2026-08-29,02_data/private_calibration/intrinsic/CAM01_intrinsic.json,02_data/private_calibration/intrinsic/CAM02_intrinsic.json,02_data/private_calibration/stereo/CAL_004_stereo.json,29.06,WARNING_RECHECK,"Rig Setup 2: Subjects S003-S004 (Lateral Left View, Baseline ~1.21 m)"
CAL_005,2026-08-30,02_data/private_calibration/intrinsic/CAM01_intrinsic.json,02_data/private_calibration/intrinsic/CAM02_intrinsic.json,02_data/private_calibration/stereo/CAL_005_stereo.json,19.21,WARNING_RECHECK,"Rig Setup 3: Subjects S005-S006 (Lateral Right View, Baseline ~2.40 m)"
CAL_006,2026-08-30,02_data/private_calibration/intrinsic/CAM01_intrinsic.json,02_data/private_calibration/intrinsic/CAM02_intrinsic.json,02_data/private_calibration/stereo/CAL_006_stereo.json,41.39,WARNING_RECHECK,"Rig Setup 4: Subject S007 (Lateral Right View, Baseline ~4.53 m)"
CAL_008,2026-08-31,02_data/private_calibration/intrinsic/CAM01_intrinsic.json,02_data/private_calibration/intrinsic/CAM02_intrinsic.json,02_data/private_calibration/stereo/CAL_008_stereo.json,18.92,WARNING_RECHECK,"Rig Setup 5: Subjects S008-S010 (Lateral Right View, Baseline ~1.32 m)"
