name,pooled_accuracy,pooled_macro_prec,pooled_macro_rec,pooled_macro_f1,mean_fold_f1,std_fold_f1,fold3_f1,f1_leaning_backward,f1_leaning_forward,f1_leaning_left,f1_leaning_right,f1_slouching,f1_upright,fold0_f1,fold1_f1,fold2_f1,fold4_f1
2D Best (42 feat),0.6401985111662531,0.6517727378332183,0.6561882878690172,0.6526323202177386,0.6536720291608226,0.10150232902204083,0.5046650209693687,0.6788990825688074,0.34532374100719426,0.928,0.9606299212598425,0.4264705882352941,0.5764705882352941,0.5982055482055483,0.7845006037605659,0.6338990257786828,0.7470899470899471
3D Current (25 feat),0.6178660049627791,0.6461793457846089,0.6266909309595995,0.6182243719193105,0.6045895760013407,0.25190909610532847,0.10523504273504274,0.68,0.544,0.7394957983193278,0.686046511627907,0.48333333333333334,0.5764705882352941,0.7647888785143687,0.6703703703703704,0.7242724867724868,0.758281101614435
3D Canonical (22 feat),0.33002481389578164,0.3378353022038752,0.3304744002782029,0.325933543138944,0.3236977496461634,0.12413289072572332,0.124613779543357,0.14414414414414414,0.25316455696202533,0.543859649122807,0.39263803680981596,0.25,0.3717948717948718,0.3284963701242771,0.27814407814407816,0.3863856960408684,0.5008488243782362
