class_id,class_name,support,precision_2d,recall_2d,f1_2d,precision_3d,recall_3d,f1_3d,delta_precision,delta_recall,delta_f1,advantage
0,upright,82,0.5568,0.5976,0.5765,0.5091,0.6829,0.5833,-0.0477,0.0854,0.0069,Stereo 3D
1,leaning_forward,75,0.375,0.32,0.3453,0.5294,0.48,0.5035,0.1544,0.16,0.1582,Stereo 3D
2,leaning_backward,58,0.7255,0.6379,0.6789,0.7436,0.5,0.5979,0.0181,-0.1379,-0.081,2D Multi-View
3,leaning_left,62,0.9206,0.9355,0.928,0.7458,0.7097,0.7273,-0.1749,-0.2258,-0.2007,2D Multi-View
4,leaning_right,61,0.9242,1.0,0.9606,0.7826,0.8852,0.8308,-0.1416,-0.1148,-0.1299,2D Multi-View
5,slouching,65,0.4085,0.4462,0.4265,0.3448,0.3077,0.3252,-0.0636,-0.1385,-0.1013,2D Multi-View
